iteration,question_idx,question,answer,expected_answer,expected_category,keywords,evaluation_notes,relevancy_score,faithfulness_score,response_time,chunk_size,chunk_overlap,similarity_top_k,system_prompt
1,0,I just bought a new car and need to add it to my insurance. What do I need to do?,"Congratulations on your new car! Here's what you need to do to add it to your insurance policy:

1. **Automatic Coverage**: You have 30 days of automatic coverage for your newly acquired vehicle, so you’re protected while you get everything sorted out.

2. **Documentation Needed**:
   - **Bill of Sale or Purchase Order**: Please send us a copy of this document.
   - **Registration Information**: Let us know if the car will be registered in your state.
   - **Lease or Loan Information**: Inform us if there is a lease or a loan on the vehicle.

3. **Sending Documents**: You can send all the necessary documentation to our email at [service@chartwellins.com](mailto:service@chartwellins.com).

If you need proof of insurance for the dealer before you finalize the purchase, you can send us the purchase order or have the dealer contact us directly.

Feel free to reach out if you have any more questions or need further assistance. We're here to help make this process as smooth as possible for you!",There is 30 days of automatic coverage for newly acquired vehicles. Please send us the bill of sale or purchase order. Will this car be registered in [STATE]? Also let us know if there is a lease or a loan. Please send all documentation to service@chartwellins.com.,Vehicle Change,"new car, add insurance, documentation",Should mention 30-day automatic coverage and required documents,1.0,1.0,5.079156160354614,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,1,I'm trading in my old car for a new one tomorrow. How does this affect my insurance coverage?,"When you trade in your old car for a new one, here's how your insurance coverage is affected:

1. **Automatic Coverage**: You will have 30 days of automatic coverage for your newly acquired vehicle. This means you're covered during this transition period without any immediate changes needed.

2. **Documentation for the New Car**:
   - **Bill of Sale or Purchase Order**: Please send us a copy of this document for the new car.
   - **Registration Information**: Let us know if the new car will be registered in your state.
   - **Lease or Loan Information**: Inform us if there is a lease or a loan on the new vehicle.

3. **Old Vehicle**: Your old vehicle will remain on your policy until you confirm the trade-in is complete. This ensures continuous coverage and protection.

4. **Sending Documents**: Please send all necessary documentation to [service@chartwellins.com](mailto:service@chartwellins.com).

If you need any assistance or have further questions, feel free to reach out. We're here to ensure your transition to the new car is as seamless and stress-free as possible!","There is 30 days of automatic coverage for newly acquired vehicles. Please send us the bill of sale or purchase order. Will this car be registered in [STATE]? Also let us know if there is a lease or a loan. For your protection, we won't remove the old car from your policy until we know it's no longer in your possession.",Vehicle Change,"trade in, new car, coverage transition",Should explain automatic coverage and documentation requirements,1.0,1.0,5.589276313781738,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,2,My dealer won't release my new car without proof of insurance. Can you help me get this quickly?,"Certainly! To provide proof of insurance for your new car quickly, here's what you can do:

1. **Send the Purchase Order**: Email us the purchase order for your new car at [service@chartwellins.com](mailto:service@chartwellins.com). This will allow us to prepare the necessary proof of insurance documentation.

2. **Dealer Contact**: Alternatively, you can have your dealer contact us directly. We can coordinate with them to ensure they receive the proof of insurance promptly.

Once we have the purchase order or are in contact with your dealer, we'll expedite the process to get you the proof of insurance you need to take delivery of your new car.

If you have any more questions or need further assistance, please let us know. We're here to help make this process as smooth as possible for you!","If you need the insurance card in advance for the dealer, please send us the purchase order or put the dealer in touch with us directly. We can provide proof of coverage before the vehicle is delivered.",Vehicle Change,"dealer, proof of insurance, new car release",Should offer to provide proof in advance with purchase order,1.0,1.0,3.1723990440368652,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,3,I leased a car today but haven't returned my old leased vehicle yet. What should I do about my policy?,"It's great that you're staying on top of your insurance needs during this transition. Here's what you should do regarding your policy:

1. **Automatic Coverage**: Your new leased vehicle is automatically covered for 30 days, so you have some time to update your policy without losing coverage.

2. **Old Leased Vehicle**: Your old vehicle will remain on your policy until you confirm that it has been returned. This ensures continuous coverage and protection for both vehicles during the transition period.

3. **Documentation for the New Lease**:
   - **Lease Agreement**: Please send us a copy of your new lease agreement.
   - **Registration Information**: Let us know if the new car will be registered in your state.

4. **Sending Documents**: You can send all necessary documentation to [service@chartwellins.com](mailto:service@chartwellins.com).

By following these steps, you'll ensure that both your old and new vehicles are properly covered during this period. If you have any questions or need further assistance, feel free to reach out. We're here to help make this process as smooth and stress-free as possible for you!","Please send the bill of sale with the lessor information. There is automatic coverage for 30 days on newly acquired vehicles. When will you be returning the old vehicle? For your protection, we won't remove the old car from your policy until we know it's no longer in your possession.",Vehicle Change,"lease, multiple vehicles, timing",Should explain keeping old car on policy until returned,1.0,1.0,4.493369102478027,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,4,How long do I have coverage on a newly purchased vehicle before I need to officially add it?,"You have 30 days of automatic coverage for a newly purchased vehicle. This means you are protected during this period while you gather and submit the necessary documentation to officially add the vehicle to your policy.

During these 30 days, please make sure to send us the following information to ensure continuous coverage:

- **Bill of Sale or Purchase Order**: A copy of this document for the new vehicle.
- **Registration Information**: Let us know if the vehicle will be registered in your state.
- **Lease or Loan Information**: Inform us if there is a lease or a loan on the vehicle.

You can send all the necessary documentation to [service@chartwellins.com](mailto:service@chartwellins.com).

If you have any more questions or need further assistance, feel free to reach out. We're here to help make this process as smooth as possible for you!",There is 30 days of automatic coverage for newly acquired vehicles under your existing policy.,Vehicle Change,"newly purchased, coverage period, timeline",Should state 30-day automatic coverage period,1.0,1.0,18.734965085983276,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,5,What documents do you need when I get a new car?,"When you get a new car, we'll need the following documents to ensure your insurance coverage is properly updated:

1. **Bill of Sale or Purchase Order**: This document provides proof of your purchase and details about the vehicle.

2. **Registration Information**: Let us know if the car will be registered in your state.

3. **Lease or Loan Information**: If there is a lease or a loan on the vehicle, please provide details.

Please send all the necessary documentation to [service@chartwellins.com](mailto:service@chartwellins.com).

These documents help us update your policy accurately and ensure continuous coverage for your new vehicle. If you have any questions or need further assistance, feel free to reach out. We're here to help make this process as smooth and stress-free as possible for you!","Please provide: 1) Bill of sale or purchase order, 2) Information about whether it's a lease or loan, 3) State where the vehicle will be registered, 4) Lessor information if applicable. Send to service@chartwellins.com.",Vehicle Change,"required documents, new car process","Should list bill of sale, registration state, lease/loan info",1.0,1.0,3.327530860900879,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,6,I need to remove my old car from my policy after trading it in. When can you do this?,"We can remove your old car from your policy once you confirm that the trade-in is complete. This ensures that you have continuous coverage until the transaction is finalized.

Here's what you need to do:

1. **Confirm Trade-In Completion**: Let us know once the trade-in of your old car is finalized.

2. **Documentation**: If you haven't already, please send us any relevant documentation related to the trade-in, such as the bill of sale or any confirmation from the dealer.

Once we receive your confirmation, we can proceed with removing the old vehicle from your policy. This process helps protect you from any gaps in coverage during the transition.

Feel free to reach out if you have any questions or need further assistance. We're here to help make this process as smooth as possible for you!","For your protection, we won't remove the old car from your policy until you confirm it has been turned in or is no longer in your possession. Please notify us when the trade-in is complete.",Vehicle Change,"remove old car, trade in completion",Should explain protective measure of waiting for confirmation,1.0,1.0,2.8692431449890137,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,7,Can you provide insurance coverage before my new car is delivered?,"Yes, we can provide insurance coverage before your new car is delivered. Here's how you can proceed:

1. **Send the Purchase Order**: Email us the purchase order for your new car at [service@chartwellins.com](mailto:service@chartwellins.com). This will allow us to prepare the necessary proof of insurance documentation.

2. **Dealer Contact**: You can also have your dealer contact us directly. We can coordinate with them to ensure they receive the proof of insurance promptly.

Once we have the purchase order or are in contact with your dealer, we'll expedite the process to get you the proof of insurance you need before your car is delivered.

If you have any more questions or need further assistance, please let us know. We're here to help make this process as smooth as possible for you!","There is 30 days of automatic coverage for newly acquired vehicles. If you need proof of insurance in advance for the dealer, send us the purchase order or have the dealer contact us directly at service@chartwellins.com.",Vehicle Change,"coverage before delivery, advance proof",Should explain process with purchase order or dealer contact,1.0,1.0,2.255743980407715,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,8,I'm getting a car this weekend and the dealer needs insurance proof. What should I do?,"To provide proof of insurance for your new car this weekend, here's what you can do:

1. **Send the Purchase Order**: Email us the purchase order for your new car at [service@chartwellins.com](mailto:service@chartwellins.com). This will allow us to prepare the necessary proof of insurance documentation quickly.

2. **Dealer Contact**: Alternatively, you can have your dealer contact us directly. We can coordinate with them to ensure they receive the proof of insurance promptly.

Once we have the purchase order or are in contact with your dealer, we'll expedite the process to get you the proof of insurance you need to complete your car purchase.

If you have any more questions or need further assistance, please let us know. We're here to help make this process as smooth as possible for you!","There is 30 days of automatic coverage for newly acquired vehicles. If you need proof of insurance in advance for the dealer, send us the purchase order or have the dealer contact us. Otherwise, just send us the bill of sale after purchase.",Vehicle Change,"weekend purchase, dealer requirements, advance planning",Should offer advance proof options and explain automatic coverage,1.0,1.0,1.9387788772583008,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
1,9,What information do you need about my lease when I get a new leased vehicle?,"When you get a new leased vehicle, we'll need the following information to ensure your insurance coverage is properly updated:

1. **Lease Agreement**: A copy of your new lease agreement, which provides details about the terms and conditions of the lease.

2. **Registration Information**: Let us know if the vehicle will be registered in your state.

3. **Lease or Loan Information**: Confirm if there is a lease or a loan on the vehicle, and provide any relevant details.

Please send all the necessary documentation to [service@chartwellins.com](mailto:service@chartwellins.com).

These documents help us update your policy accurately and ensure continuous coverage for your new leased vehicle. If you have any questions or need further assistance, feel free to reach out. We're here to help make this process as smooth and stress-free as possible for you!",Please provide the bill of sale with the lessor information. Also let us know what state the vehicle will be registered in. Send all documentation to service@chartwellins.com.,Vehicle Change,"lease information, required details",Should mention lessor information and bill of sale requirements,1.0,0.0,3.0715699195861816,1024,192,3,"You are Chartwell Insurance AI Assistant, designed..."
